№;Offer ID;Категория;Номенклатура;Фактура;Маркетинговая цена;Мин. цена конкурентов
25;50673_z_ch_3;Обеденные столы;2000х800 (18);Дуб золотой крафт;620,55;617,55
26;47865_bet_3;Столешница;прямоугольная 1400х700 (36);Бетон;278,16;210,48
27;49511_z_ch_2;Столешница;геймерская 1200х850 (18);Дуб золотой крафт;292,86;181,71
28;51213_z_ch_2;Компьютерные столы;угловой 1600х1200;Дуб золотой крафт;1 837,14;1 210,02
29;51394_pas_7;Столешница;С закруг.углами 1400х800 (36);Сосна пасадена;271,11;0,00
30;45588_b_1;Подстолье;П-образное 680;(пусто);281,73;255,42
31;51780_z_ch_5;Обеденные столы;1800х1000 (36);Дуб золотой крафт;552,63;748,29
32;46531_b_5;Столешница;С закруг.углами 1800х900 (36);Белый;468,21;332,43
33;46915_g_6;Сад;каркас гамака;(пусто);554,40;0,00
34;51594_gs_ch_1;Сад;Керамогранит 800х800;Керамогранит Серый Камень;440,97;0,00
35;42321_b_b_75;Обеденные столы;1 1100х380/760;Белый;441,06;0,00
36;50695_b_b_1;Компьютерные столы;1600х800;Белый;824,94;0,00
37;51392_b_1;Столешница;прямоугольная 2000х900 (36);Белый;460,89;0,00
38;51423_gc_ch_4;Сад;Керамогранит 1600х800;Керамогранит Серый Бетон;693,66;0,00
39;46530_t_3;Столешница;С закруг.углами 1600х800 (36);Дуб табачный крафт;486,12;0,00
40;50662_bet_g_4;Письменные столы;1800х800;Бетон;670,98;623,55
41;50878_bk_ch_3;Компьютерные столы;2 1400х800;Дуб белый крафт;722,58;645,84
42;51104_ch_2;Подстолье;Для 1800x800;Металлокаркас Черный;316,71;0,00
43;51392_z_4;Столешница;прямоугольная 2000х900 (36);Дуб золотой крафт;452,01;0,00
44;51544_t_ch_6;Обеденные столы;1800х800;Дуб табачный крафт;574,59;364,59
45;51597_t_ch_5;Компьютерные столы;с подсветкой 1400х700;Дуб табачный крафт;686,55;0,00
46;50663_b_b_1;Обеденные столы;2 круглая D1200;Белый;985,95;0,00
47;50663_z_b_7;Обеденные столы;2 круглая D1200;Дуб золотой крафт;985,95;0,00
48;50669_t_ch_4;Столешница;геймерская 1600х800 (36);Дуб табачный крафт;369,87;285,03
49;50810_g_3;Подстолье;Для 1600x800;Металлокаркас Графит;212,25;0,00
50;51347_bk_ch_3;Компьютерные столы;Сплит двухместный;Дуб белый крафт;1 126,32;1 403,37
51;51778_b_1;Столешница;Овальная 1800х1000 (36);Белый;272,43;382,59
52;49511_bet_g_4;Столешница;геймерская 1200х850 (18);Бетон;308,70;0,00
53;50669_b_b_1;Столешница;геймерская 1600х800 (36);Белый;365,01;283,74
54;45588_ch_2;Подстолье;П-образное 680;(пусто);281,73;255,42
56;51675_t_ch_5;Компьютерные столы;Подъемный с подсветкой 1400х700;Дуб табачный крафт;811,41;0,00
57;51594_gc_ch_3;Сад;Керамогранит 800х800;Керамогранит Серый Бетон;395,07;0,00
58;48111_t_ch_3;Обеденные столы;1600х800 (18);Дуб табачный крафт;489,60;364,59
59;50578_b_b_1;Столешница;геймерская 1300х800 (36);Белый;416,25;266,97
60;41404_pas_ch_8;Обеденные столы;2000х1000;Сосна пасадена;1 078,26;0,00
61;49511_b_b_1;Столешница;геймерская 1200х850 (18);Белый;214,20;179,40
62;51696_bk_3;Столешница;Угловая 1400х1100 (36);Дуб белый крафт;589,80;0,00
63;42773_ch_2;Подстолье;U-образное 720;(пусто);331,65;285,39
64;44713_b_b_10;Письменные столы;1600х800;Белый;521,76;663,03
65;46531_bet_6;Столешница;С закруг.углами 1800х900 (36);Бетон;348,15;0,00
66;46531_bk_2;Столешница;С закруг.углами 1800х900 (36);Дуб белый крафт;449,97;326,49
67;46813_ch_1;Подстолье;Для 570х710;(пусто);484,20;0,00
68;50669_bet_ch_5;Столешница;геймерская 1600х800 (36);Бетон;365,01;372,27
69;51191_z_ch_2;Компьютерные столы;1400х800;Дуб золотой крафт;769,50;0,00
70;51544_pas_ch_8;Обеденные столы;1800х800;Сосна пасадена;567,39;0,00
71;46527_z_1;Столешница;С закруг.углами 1200х700 (36);Дуб золотой крафт;233,88;0,00
72;46532_bk_1;Столешница;С закруг.углами 2000х1000 (36);Дуб белый крафт;459,78;0,00
73;51717_b_2;Подстолье;Для 1030*680;Металлокаркас Белый;503,67;371,85
74;44713_z_ch_5;Письменные столы;1600х800;Дуб золотой крафт;635,10;642,18
75;46449_t_3;Столешница;прямоугольная 1300х800 (36);Дуб табачный крафт;294,12;219,75
76;41404_b_b_21;Обеденные столы;2000х1000;Белый;832,83;0,00
77;48111_z_ch_1;Обеденные столы;1600х800 (18);Дуб золотой крафт;489,60;364,59
78;50885_t_chmatgl_6;Компьютерные столы;Подъемный 1600x800;Дуб табачный крафт;3 072,15;0,00
79;51581_ch_3;Подстолье;для 1600х800;Металлокаркас Черный;282,06;0,00
80;51191_t_ch_3;Компьютерные столы;1400х800;Дуб табачный крафт;769,50;0,00
81;46536_t_3;Столешница;круглая D1200 (36);Дуб табачный крафт;389,19;409,50
82;51394_bet_2;Столешница;С закруг.углами 1400х800 (36);Бетон;326,70;239,49
83;51437_z_ch_4;Компьютерные столы;1800х800 (36);Дуб золотой крафт;846,69;0,00
84;51495_t_ch_5;Столешница;геймерская 1800х800 (36);Дуб табачный крафт;435,60;354,72
85;46527_b_8;Столешница;С закруг.углами 1200х700 (36);Белый;347,94;0,00
86;46527_pas_5;Столешница;С закруг.углами 1200х700 (36);Сосна пасадена;221,31;267,45
87;46536_z_2;Столешница;круглая D1200 (36);Дуб золотой крафт;312,42;408,57
88;48110_z_ch_3;Обеденные столы;1300х800 (18);Дуб золотой крафт;374,85;322,20
89;46449_bet_13;Столешница;прямоугольная 1300х800 (36);Бетон;397,47;303,24
90;46531_z_1;Столешница;С закруг.углами 1800х900 (36);Дуб золотой крафт;442,59;332,43
91;51544_z_ch_5;Обеденные столы;1800х800;Дуб золотой крафт;574,95;448,47
92;51696_t_5;Столешница;Угловая 1400х1100 (36);Дуб табачный крафт;589,80;0,00
93;44713_t_ch_8;Письменные столы;1600х800;Дуб табачный крафт;833,52;650,22
94;46813_b_2;Подстолье;Для 570х710;(пусто);320,79;300,15
95;49524_z_ch_6;Компьютерные столы;1300х700 (18);Дуб золотой крафт;738,45;0,00
96;46532_z_2;Столешница;С закруг.углами 2000х1000 (36);Дуб золотой крафт;533,73;0,00
97;46536_pas_4;Столешница;круглая D1200 (36);Сосна пасадена;554,40;0,00
98;51191_bk_ch_1;Компьютерные столы;1400х800;Дуб белый крафт;769,50;0,00
99;47865_t_1;Столешница;прямоугольная 1400х700 (36);Дуб табачный крафт;278,16;217,05
100;51394_sr_6;Столешница;С закруг.углами 1400х800 (36);Серый;300,93;0,00
101;51742_z_ch_5;Компьютерные столы;1600х800 (18);Дуб золотой крафт;912,93;583,50
102;51588_z_ch_5;Компьютерные столы;с вырезом 1400х800;Дуб золотой крафт;783,45;0,00
103;51597_z_ch_4;Компьютерные столы;с подсветкой 1400х700;Дуб золотой крафт;686,55;0,00
104;51696_b_1;Столешница;Угловая 1400х1100 (36);Белый;330,84;0,00
105;51786_z_ch_5;Обеденные столы;1600х1000 (36);Дуб золотой крафт;485,58;741,18
106;41434_bk_ch_5;Обеденные столы;1600х800;Дуб белый крафт;847,65;0,00
107;42378_t_ch_44;Обеденные столы;2 1250х380/760;Дуб табачный крафт;455,79;0,00
108;46532_b_5;Столешница;С закруг.углами 2000х1000 (36);Белый;507,42;558,63
109;46532_t_3;Столешница;С закруг.углами 2000х1000 (36);Дуб табачный крафт;722,49;0,00
110;51394_b_1;Столешница;С закруг.углами 1400х800 (36);Белый;437,07;243,75
111;51470_t_ch_5;Компьютерные столы;угловой 2000х1200;Дуб табачный крафт;2 647,53;0,00
112;51588_t_ch_6;Компьютерные столы;с вырезом 1400х800;Дуб табачный крафт;797,70;0,00
113;46449_b_9;Столешница;прямоугольная 1300х800 (36);Белый;290,13;219,75
114;46450_t_3;Столешница;прямоугольная 1600х800 (36);Дуб табачный крафт;356,34;0,00
115;50758_trw_ch_7;Сад;Керамогранит 1200х600;Керамогранит Дерево Вуд 3;515,28;0,00
116;42819_b_1;Подстолье;U-образное 620;(пусто);210,54;285,39
117;50671_bet_g_5;Компьютерные столы;2 1600х800;Бетон;1 041,81;690,42
118;50885_b_chmatgl_2;Компьютерные столы;Подъемный 1600x800;Белый;930,60;0,00
119;51437_t_ch_5;Компьютерные столы;1800х800 (36);Дуб табачный крафт;846,69;728,79
120;51470_bk_ch_3;Компьютерные столы;угловой 2000х1200;Дуб белый крафт;2 647,53;0,00
121;51742_t_ch_6;Компьютерные столы;1600х800 (18);Дуб табачный крафт;912,93;583,50
122;46450_b_5;Столешница;прямоугольная 1600х800 (36);Белый;351,69;257,22
123;47185_bk_ch_1;Обеденные столы;2 круглая D1100;Дуб белый крафт;935,55;0,00
124;49518_z_ch_4;Компьютерные столы;1 1300х850;Дуб золотой крафт;566,49;612,66
125;50552_bk_1;Столешница;прямоугольная 1800х800 (36);Дуб белый крафт;367,98;292,35
126;46450_bet_15;Столешница;прямоугольная 1600х800 (36);Бетон;470,49;0,00
127;51394_z_4;Столешница;С закруг.углами 1400х800 (36);Дуб золотой крафт;318,12;243,75
128;51507_t_ch_5;Письменные столы;1600х800;Дуб табачный крафт;972,63;1 042,65
129;46530_bk_1;Столешница;С закруг.углами 1600х800 (36);Дуб белый крафт;353,82;365,25
130;50671_b_b_1;Компьютерные столы;2 1600х800;Белый;772,44;690,42
131;51347_t_ch_5;Компьютерные столы;Сплит двухместный;Дуб табачный крафт;1 126,32;0,00
132;51392_bet_2;Столешница;прямоугольная 2000х900 (36);Бетон;460,89;0,00
133;51437_bk_ch_3;Компьютерные столы;1800х800 (36);Дуб белый крафт;1 157,22;747,45
134;51191_b_b_5;Компьютерные столы;1400х800;Белый;816,63;0,00
135;42321_t_ch_44;Обеденные столы;1 1100х380/760;Дуб табачный крафт;537,93;0,00
136;46448_bet_24;Столешница;прямоугольная 1200х700 (36);Бетон;245,19;0,00
137;46529_b_8;Столешница;С закруг.углами 1300х800 (36);Белый;285,39;223,68
138;46530_b_5;Столешница;С закруг.углами 1600х800 (36);Белый;358,62;265,77
139;50552_bet_5;Столешница;прямоугольная 1800х800 (36);Бетон;357,78;408,24
140;51423_gs_ch_3;Сад;Керамогранит 1600х800;Керамогранит Серый Камень;725,82;0,00
141;51507_bk_ch_3;Письменные столы;1600х800;Дуб белый крафт;884,94;1 042,65
142;42432_b_b_21;Обеденные столы;1800х900;Белый;687,60;581,31
143;51783_bk_3;Столешница;Овальная 1600х1000 (36);Дуб белый крафт;243,33;341,79
144;51786_t_ch_7;Обеденные столы;1600х1000 (36);Дуб табачный крафт;576,27;750,69
145;41434_b_b_23;Обеденные столы;1600х800;Белый;593,34;508,62
146;46530_z_2;Столешница;С закруг.углами 1600х800 (36);Дуб золотой крафт;368,16;272,58
147;47185_t_ch_3;Обеденные столы;2 круглая D1100;Дуб табачный крафт;935,55;0,00
148;49527_b_b_2;Компьютерные столы;1600х700 (18);Белый;559,05;0,00
149;50673_t_ch_4;Обеденные столы;2000х800 (18);Дуб табачный крафт;620,55;595,41
150;51594_nm_ch_2;Сад;Керамогранит 800х800;Керамогранит Мрамор Неро;409,50;0,00
152;50758_gs_ch_10;Сад;Керамогранит 1200х600;Керамогранит Серый Камень;531,15;567,69
153;51783_b_1;Столешница;Овальная 1600х1000 (36);Белый;243,33;337,47
154;44713_bk_ch_2;Письменные столы;1600х800;Дуб белый крафт;582,54;663,03
155;49518_bk_ch_6;Компьютерные столы;1 1300х850;Дуб белый крафт;786,78;601,53
156;42773_g_11;Подстолье;U-образное 720;(пусто);467,55;0,00
157;46532_pas_4;Столешница;С закруг.углами 2000х1000 (36);Сосна пасадена;554,34;0,00
158;50671_z_ch_3;Компьютерные столы;2 1600х800;Дуб золотой крафт;718,92;678,90
159;51664_bk_ch_3;Компьютерные столы;Кембридж 1600х800 (36);Дуб белый крафт;1 398,54;1 241,88
161;41404_t_ch_7;Обеденные столы;2000х1000;Дуб табачный крафт;1 078,26;0,00
162;50552_pas_6;Столешница;прямоугольная 1800х800 (36);Сосна пасадена;399,72;292,35
163;50669_z_ch_3;Столешница;геймерская 1600х800 (36);Дуб золотой крафт;369,87;285,03
164;50673_bk_ch_2;Обеденные столы;2000х800 (18);Дуб белый крафт;604,44;607,17
165;50878_b_b_1;Компьютерные столы;2 1400х800;Белый;764,49;635,07
